sign,peak_sigma,area_deg2,centroid_ra_deg,centroid_dec_deg,dist_to_CPT_deg,npixels
neg,-4.576261294749681,25.0,232.5,32.5,49.932179521270534,1
neg,-4.825605724507225,25.0,352.5,32.5,107.46306160387009,1
neg,-5.122202014131357,50.0,152.5,22.5,22.93303145796646,2
neg,-5.332291052615118,50.0,2.5,32.5,106.58223596413166,2
neg,-6.242434568814664,25.0,252.5,37.5,61.924748869012205,1
neg,-6.268604829663852,25.0,157.5,42.5,9.714597724329181,1
neg,-6.419810781236939,25.0,132.5,47.5,27.810121008745103,1
neg,-6.544119520270584,25.0,227.5,47.5,41.237594898038985,1
neg,-6.654616177189379,75.0,197.5,47.5,21.097484707093738,3
neg,-6.666974355923718,25.0,187.5,52.5,17.309313515183778,1
neg,-12.23615125496902,25.0,162.5,32.5,9.626911714516893,1
neg,-12.847517626473667,25.0,202.5,37.5,25.328437946160264,1
neg,-19.171270380003897,100.0,167.5,52.5,12.616957558855452,4
pos,12.965809942799225,25.0,177.5,47.5,9.242534585201446,1
pos,12.685933542050961,100.0,187.5,57.5,20.825577153872356,4
pos,12.629958261901308,25.0,137.5,42.5,24.411917757780472,1
pos,9.42192045280499,50.0,172.5,32.5,7.765262374950098,2
pos,6.39489361458222,25.0,182.5,37.5,10.054456848678187,1
pos,6.373812015564818,25.0,237.5,47.5,47.781193861235145,1
pos,6.289485619495212,25.0,232.5,42.5,45.96874058633225,1
pos,6.242960711318878,25.0,147.5,52.5,19.813975425551966,1
pos,6.193527996381521,50.0,247.5,52.5,52.345987494989636,2
pos,6.117198068904723,75.0,142.5,32.5,23.300149669859504,3
pos,5.775530774484766,25.0,142.5,57.5,24.877248433780178,1
pos,5.404058460764344,25.0,17.5,27.5,107.81282708054343,1
pos,5.220139683129772,25.0,252.5,32.5,64.55152255268561,1
pos,5.180884291855989,25.0,337.5,27.5,111.50465472441496,1
pos,5.132178528608888,25.0,152.5,27.5,19.117810369640967,1
pos,4.980972577035801,25.0,27.5,27.5,104.0205063092128,1
pos,4.363063640318857,25.0,222.5,57.5,37.56286183801708,1
pos,3.575774959772445,25.0,2.5,22.5,116.42158064328497,1
pos,3.372955438191237,25.0,237.5,32.5,53.6574266817732,1
pos,3.071997438425573,25.0,207.5,32.5,30.91442890819417,1
pos,2.9244262453037613,25.0,177.5,62.5,22.94883487642637,1
pos,2.828468622190071,25.0,112.5,32.5,46.17122618807915,1
