theta_bin_deg,bin_center_deg,area_deg2,count,expected_uniform,excess,z_score_bin,density_per_deg2
0-5,2.5,51.80339081397555,0,0.06659278339445296,-0.06659278339445296,-0.25805577574325467,0.0
5-10,7.5,155.01591735809092,4,0.19927153889190669,3.8007284611080934,8.5142070196262,0.025803801752563853
10-15,12.5,257.04867916993874,2,0.33043371765494495,1.669566282345055,2.904433832877386,0.0077806274144586055
15-20,17.5,357.1251453230694,3,0.459081096305298,2.540918903694702,3.750128067664978,0.008400416602662024
20-25,22.5,454.4836734822336,7,0.5842345906120237,6.415765409387976,8.393727047414734,0.015402093426957041
25-30,27.5,548.3833064614496,2,0.7049417069136965,1.2950582930863035,1.5424557520414248,0.003647084031250679
30-35,32.5,638.1094113556042,1,0.8202837911703208,0.1797162088296792,0.19842901815356703,0.0015671293702996683
35-40,37.5,722.9791183283435,1,0.9293830204752411,0.07061697952475887,0.07325069857308715,0.0013831658130212365
40-45,42.5,802.3465176638758,1,1.0314090838175327,-0.03140908381753271,-0.030927142292792417,0.0012463442888885653
45-50,47.5,875.6075755299152,4,1.1255855012501437,2.8744144987498563,2.709319043856405,0.004568256501868673
50-55,52.5,942.2047310398608,2,1.211195533371131,0.7888044666288689,0.7167409712356054,0.0021226809143621126
55-60,57.5,1001.631139627822,0,1.2875876361433058,-1.2875876361433058,-1.1347191882326244,0.0
60-65,62.5,1053.4345304417998,2,1.3541804195377618,0.6458195804622382,0.5549743908744347,0.0018985517772625322
65-70,67.5,1097.2206483979503,0,1.410467072263036,-1.410467072263036,-1.18763086532097,0.0
70-75,72.5,1132.6562546998562,0,1.4560192189050916,-1.4560192189050916,-1.2066562140498391,0.0
75-80,77.5,1159.4716629869451,0,1.4904901801228307,-1.4904901801228307,-1.2208563306641904,0.0
80-85,82.5,1177.4627918105773,0,1.513617611087265,-1.513617611087265,-1.2302916772405093,0.0
85-90,87.5,1186.492717817053,0,1.5252254980840165,-1.5252254980840165,-1.2350002016534314,0.0
